,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,nyurba,100,RU,1570831275,88,63.29,118.35,18.3,9.43
1,caala,100,AO,1570831337,89,-12.85,15.56,62.91,1.38
2,hobyo,20,SO,1570831217,79,5.35,48.53,80.35,11.4
3,port elizabeth,69,CD,1570831192,66,-7.04,29.76,78.46,4.62
4,khatanga,100,RU,1570831201,61,71.98,102.47,23.27,8.77
5,san policarpo,98,ML,1570831338,49,13.3,-4.9,86.52,10.82
6,mar del plata,0,CN,1570831131,58,29.86,90.73,28.15,1.36
7,sao luiz gonzaga,59,IN,1570831338,77,20.51,76.21,72.27,3.55
8,busselton,71,AU,1570831117,70,-33.64,115.35,51.01,9.13
9,bluff,0,AU,1570831139,77,-23.58,149.07,65.62,5.12
10,ushuaia,40,AR,1570831124,80,-54.81,-68.31,39.2,19.46
11,oranjestad,20,AW,1570831339,79,12.52,-70.03,84.2,19.46
12,verkhoyansk,100,RU,1570831339,94,67.55,133.39,16.43,7.19
13,vaini,98,IN,1570831118,98,15.34,74.49,69.66,2.65
14,albany,75,US,1570831156,42,42.65,-73.75,64.99,5.82
15,hilo,90,US,1570831119,70,19.71,-155.08,84.2,8.69
16,cannington,75,AU,1570831340,93,-32.02,115.94,57.2,8.05
17,samarai,64,PG,1570831341,84,-10.62,150.67,71.85,1.99
18,yellowknife,75,CA,1570831119,75,62.45,-114.38,42.01,21.92
19,hermanus,100,ZA,1570831128,93,-34.42,19.24,57.0,5.99
20,ialibu,85,PG,1570831341,94,-6.28,143.99,59.4,1.94
21,elk plain,100,PL,1570831341,81,53.83,22.36,51.73,14.31
22,sturgis,0,CA,1570831342,37,51.94,-102.54,38.53,21.75
23,provideniya,0,RU,1570831127,68,64.42,-173.23,27.05,2.51
24,arraial do cabo,40,BR,1570831170,31,-22.84,-46.65,87.8,8.05
25,masyaf,75,SY,1570831342,83,35.06,36.34,71.6,6.93
26,guerrero negro,1,AR,1570831169,26,-24.19,-65.45,93.2,16.11
27,port alfred,69,CD,1570831129,66,-7.04,29.76,78.46,4.62
28,fortuna,1,US,1570831180,76,40.6,-124.16,71.01,5.82
29,avarua,67,CK,1570831140,53,-21.21,-159.78,73.4,9.17
30,thompson,75,CA,1570831155,47,55.74,-97.86,37.4,13.87
31,san cristobal,98,ML,1570831175,49,13.3,-4.9,86.52,10.82
32,tabuk,48,PH,1570831343,90,17.41,121.44,67.66,2.09
33,rikitea,67,PF,1570831125,56,-23.12,-134.97,68.81,6.85
34,wanning,94,AT,1570831344,100,48.64,13.53,50.0,2.24
35,ola,67,RU,1570831344,72,59.58,151.3,36.18,3.22
36,cape town,75,CL,1570831118,77,-36.41,-71.9,62.6,5.82
37,bahia de caraquez,35,BR,1570831344,57,-3.55,-40.25,82.78,11.34
38,tiksi,100,RU,1570831248,94,71.64,128.87,20.97,7.52
39,vao,100,EE,1570831345,94,59.1,26.19,49.06,10.48
40,mataura,100,NZ,1570831133,86,-46.19,168.86,46.99,11.01
41,inuvik,90,CA,1570831345,95,68.36,-133.71,32.0,12.75
42,wajima,100,JP,1570831345,91,37.4,136.9,68.95,31.8
43,mehamn,40,NO,1570831138,91,71.03,27.85,37.4,11.41
44,kapaa,40,US,1570831136,74,22.08,-159.32,84.2,6.93
45,minden,20,US,1570831346,44,40.5,-98.95,43.0,12.75
46,lagoa,20,PT,1570831162,83,37.14,-8.45,72.0,5.82
47,sao filipe,59,IN,1570831242,77,20.51,76.21,72.27,3.55
48,ancud,75,CL,1570831119,82,-41.87,-73.83,55.4,9.17
49,aklavik,90,CA,1570831346,98,68.22,-135.01,32.0,9.17
50,punta arenas,40,PH,1570831130,88,14.18,121.12,78.8,2.24
51,bria,60,CF,1570831347,98,6.54,21.99,68.14,3.24
52,kidal,36,ML,1570831347,29,18.44,1.41,86.22,5.91
53,cidreira,1,BR,1570831196,71,-30.17,-50.22,73.18,13.78
54,anchorage,90,US,1570831348,93,61.22,-149.89,46.4,4.7
55,castro,75,CL,1570831148,82,-42.48,-73.76,55.4,9.17
56,starominskaya,77,RU,1570831348,86,46.54,39.06,53.02,8.12
57,ayan,100,IR,1570831348,33,38.23,44.7,54.77,3.3
58,khed brahma,35,IN,1570831348,80,18.85,73.88,73.08,4.23
59,dikson,100,RU,1570831147,93,73.51,80.55,30.61,21.03
60,ukiah,1,US,1570831349,6,39.15,-123.21,82.0,2.62
61,victoria,75,BN,1570831167,88,5.28,115.24,77.0,1.12
62,cayenne,40,GF,1570831132,78,4.94,-52.33,82.4,5.82
63,manggar,100,ID,1570831194,75,-2.88,108.27,80.92,4.69
64,bocas del toro,20,CU,1570831349,59,21.07,-76.27,89.6,10.29
65,new norfolk,75,LR,1570831157,83,6.65,-10.59,78.8,3.08
66,oktyabrskiy,87,RU,1570831350,87,55.61,37.97,48.2,6.71
67,imbituba,0,BR,1570831350,73,-28.24,-48.67,75.2,16.11
68,san pedro,98,ML,1570831350,49,13.3,-4.9,86.52,10.82
69,kodinsk,0,RU,1570831263,61,58.6,99.18,20.64,1.26
70,hofn,2,IS,1570831161,61,64.25,-15.21,43.74,16.47
71,cabo san lucas,90,ES,1570831133,88,43.18,-5.8,64.99,1.12
72,luderitz,0,NA,1570831204,77,-26.65,15.16,59.0,6.93
73,zhigansk,92,RU,1570831160,85,66.77,123.37,22.6,31.25
74,kruisfontein,47,ZA,1570831232,58,-34.0,24.73,52.88,2.55
75,yumen,37,CN,1570831351,43,40.29,97.04,49.96,5.03
76,nautla,65,MX,1570831352,83,20.22,-96.78,82.29,3.95
77,atuona,7,PF,1570831121,68,-9.8,-139.03,78.84,12.45
78,alimono,84,PH,1570831352,89,11.17,122.7,72.57,2.93
79,barrow,100,AR,1570831146,63,-38.31,-60.23,61.16,9.85
80,mahebourg,75,MU,1570831153,83,-20.41,57.7,71.6,5.82
81,nouadhibou,95,MR,1570831352,44,20.93,-17.03,80.6,14.99
82,upernavik,100,GL,1570831185,70,72.79,-56.15,30.85,9.89
83,mayumba,100,GA,1570831151,91,-3.44,10.65,77.18,7.71
84,belyy yar,99,RU,1570831281,90,55.83,32.94,45.39,9.65
85,tiznit,48,MA,1570831353,23,29.7,-9.73,75.49,9.14
86,shelburne,40,CA,1570831245,42,44.08,-80.2,66.99,18.34
87,zhangjiakou,23,CN,1570831186,95,40.77,114.88,42.8,1.55
88,ust-kuyga,99,RU,1570831354,95,70.0,135.55,14.52,5.05
89,gizo,75,IL,1570831354,83,31.8,34.94,73.99,4.7
90,hasaki,75,JP,1570831126,100,35.73,140.83,73.4,16.11
91,rustenburg,0,ZA,1570831354,68,-25.67,27.24,59.05,1.83
92,jamestown,0,AU,1570831134,56,-33.21,138.6,49.35,13.51
93,bara,96,NG,1570831355,87,10.41,10.6,75.13,5.38
94,raudeberg,75,NO,1570831257,93,61.99,5.14,46.4,12.75
95,praia da vitoria,100,BR,1570831355,41,-20.25,-43.81,81.0,9.17
96,aguimes,75,ES,1570831356,69,27.91,-15.45,73.4,13.87
97,carnarvon,93,ZA,1570831143,9,-30.97,22.13,63.21,5.44
98,iranshahr,0,IR,1570831356,21,27.21,60.69,78.8,4.7
99,puerto ayora,40,AR,1570831168,32,-51.62,-69.23,51.8,31.09
100,charlestown,100,US,1570831357,82,41.38,-71.64,57.2,20.8
101,tasiilaq,100,GL,1570831164,73,65.61,-37.64,32.0,2.24
102,nanortalik,100,GL,1570831138,89,60.14,-45.24,38.55,15.77
103,hobart,20,AU,1570831127,70,-42.88,147.33,53.01,5.82
104,saskylakh,100,RU,1570831122,89,71.97,114.09,12.04,3.21
105,campoverde,40,EC,1570831358,48,-0.91,-78.62,62.6,9.17
106,nikolskoye,90,RU,1570831129,87,59.7,30.79,50.0,8.95
107,mount gambier,20,GB,1570831125,87,53.66,-1.85,54.0,14.99
108,namatanai,95,PG,1570831283,71,-3.66,152.44,83.34,7.57
109,alta floresta,75,NO,1570831188,86,69.97,23.27,34.0,3.36
110,borisovka,40,RU,1570831358,85,50.61,36.01,46.44,6.72
111,butaritari,100,KI,1570831130,59,3.07,172.79,85.48,7.4
112,chokurdakh,93,RU,1570831130,95,70.62,147.9,13.98,6.43
113,qaanaaq,100,GL,1570831165,64,77.48,-69.36,25.47,8.3
114,alice springs,73,ZA,1570831199,82,-32.79,26.83,57.18,2.05
115,victor harbor,1,US,1570831359,30,43.6,-111.11,43.0,5.92
116,husavik,100,CA,1570831171,99,50.56,-96.99,34.0,10.0
117,aykhal,50,RU,1570831155,79,65.95,111.51,5.94,7.48
118,bud,100,NO,1570831117,87,62.91,6.91,48.2,6.93
119,gold coast,1,US,1570831360,33,35.79,-81.76,79.0,3.13
120,chuy,88,UY,1570831176,83,-33.69,-53.46,69.28,2.9
121,mys shmidta,93,RU,1570831191,96,62.06,48.62,33.26,2.72
122,kilindoni,33,TZ,1570831360,84,-7.91,39.67,79.39,18.2
123,lavrentiya,0,RU,1570831254,63,65.58,-170.99,30.4,8.46
124,addi ugri,52,CH,1570831361,100,46.46,8.89,53.01,2.68
125,comodoro rivadavia,74,BR,1570831168,86,-13.66,-59.79,72.82,2.24
126,pandrup,93,DK,1570831361,95,57.21,9.68,52.0,5.01
127,alanya,75,TR,1570831361,93,36.55,32.0,64.4,4.7
128,torbay,75,CA,1570831138,81,47.66,-52.73,48.0,8.05
129,elverum,100,NO,1570831362,97,60.88,11.56,43.0,1.01
130,saint-joseph,0,FR,1570831362,93,43.56,6.97,60.8,3.36
131,kongolo,18,CD,1570831362,96,-5.39,27.0,68.61,2.14
132,dunedin,100,NZ,1570831279,99,-45.87,170.5,46.99,15.41
133,leningradskiy,100,RU,1570831224,52,69.38,178.42,26.46,4.6
134,vestmanna,100,FO,1570831363,81,62.16,-7.17,46.4,17.22
135,shar,92,NG,1570831363,95,7.3,8.73,70.86,3.7
136,clyde river,100,NZ,1570831139,96,-45.19,169.32,41.0,1.01
137,ahipara,96,NZ,1570831178,100,-35.17,173.16,62.01,7.98
138,port hardy,69,CD,1570831364,66,-7.04,29.76,78.46,4.62
139,takoradi,16,GH,1570831364,89,4.89,-1.75,77.86,8.55
140,neiafu,40,TO,1570831364,69,-18.65,-173.98,80.6,11.41
141,carutapera,36,BR,1570831214,78,-1.2,-46.02,80.67,17.78
142,halifax,90,CA,1570831364,76,44.65,-63.58,53.01,14.99
143,matagami,100,NG,1570831365,96,9.67,8.4,67.68,1.09
144,douglas,75,US,1570831365,87,58.28,-134.39,46.4,6.93
145,tateyama,75,JP,1570831365,100,36.66,137.31,71.01,3.36
